vertex,U,gamma_PPN,beta_PPN,c_eff,delta_S
263,0.082540,1.043047,0.500000,0.849981,0.176497
264,0.028153,1.014277,0.500000,0.945591,0.057540
265,0.093221,1.048889,0.500000,0.832488,0.201218
266,0.049054,1.025144,0.500000,0.907472,0.101962
267,0.072945,1.037853,0.500000,0.866033,0.154691
268,0.042167,1.021537,0.500000,0.919832,0.087155
269,0.054101,1.027803,0.500000,0.898535,0.112922
270,0.054226,1.027868,0.500000,0.898316,0.113194
271,0.061695,1.031829,0.500000,0.885276,0.129591
272,0.008197,1.004116,0.500000,0.983771,0.016497
273,0.037845,1.019287,0.500000,0.927687,0.077950
274,0.013041,1.006563,0.500000,0.974335,0.026341
275,0.023319,1.011797,0.500000,0.954673,0.047480
276,0.074538,1.038712,0.500000,0.863344,0.158286
277,0.061913,1.031946,0.500000,0.884898,0.130073
278,0.033389,1.016978,0.500000,0.935868,0.068526
279,0.033493,1.017032,0.500000,0.935676,0.068746
