gate_id,metric,value,threshold,status
G15a,gamma_dev,0.040345,<0.06,pass
G15b,shapiro_ratio,2.476298,>2.0,pass
G15c,beta_PPN,0.500000,"(0.3,0.7)",pass
G15d,EP_ratio,0.139478,<0.15,pass
FINAL,decision,pass,G15a&G15b&G15c&G15d,pass
