vertex,U,gamma_PPN,beta_PPN,c_eff,delta_S
0,0.090209,1.047235,0.500000,0.837382,0.194197
1,0.116735,1.061986,0.500000,0.795292,0.257400
2,0.034790,1.017703,0.500000,0.933287,0.071482
3,0.015420,1.007770,0.500000,0.969740,0.031204
4,0.041678,1.021283,0.500000,0.920716,0.086111
5,0.017364,1.008758,0.500000,0.966006,0.035191
6,0.033834,1.017208,0.500000,0.935047,0.069465
7,0.049841,1.025557,0.500000,0.906072,0.103665
8,0.107833,1.056989,0.500000,0.809168,0.235837
9,0.109965,1.058181,0.500000,0.805823,0.240967
10,0.097268,1.051120,0.500000,0.825960,0.210712
11,0.024782,1.012547,0.500000,0.951913,0.050516
12,0.097740,1.051381,0.500000,0.825202,0.211825
13,0.082976,1.043284,0.500000,0.849260,0.177496
14,0.107507,1.056807,0.500000,0.809681,0.235054
15,0.077628,1.040381,0.500000,0.858158,0.165287
16,0.086817,1.045378,0.500000,0.842931,0.186337
17,0.120041,1.063853,0.500000,0.790201,0.265501
18,0.034969,1.017796,0.500000,0.932958,0.071860
19,0.077024,1.040055,0.500000,0.859168,0.163917
20,0.056525,1.029084,0.500000,0.894280,0.118219
21,0.059782,1.030812,0.500000,0.888595,0.125372
22,0.087557,1.045783,0.500000,0.841716,0.188049
23,0.043380,1.022171,0.500000,0.917640,0.089752
24,0.011773,1.005921,0.500000,0.976795,0.023757
25,0.096765,1.050842,0.500000,0.826769,0.209528
26,0.080002,1.041668,0.500000,0.854196,0.170692
27,0.052348,1.026877,0.500000,0.901629,0.109104
28,0.084018,1.043851,0.500000,0.847537,0.179890
29,0.090636,1.047469,0.500000,0.836687,0.195190
30,0.077837,1.040494,0.500000,0.857808,0.165762
31,0.044272,1.022637,0.500000,0.916034,0.091662
32,0.132183,1.070769,0.500000,0.771776,0.295712
33,0.106905,1.056471,0.500000,0.810629,0.233610
34,0.060224,1.031047,0.500000,0.887827,0.126346
35,0.132569,1.070990,0.500000,0.771199,0.296683
36,0.047662,1.024413,0.500000,0.909954,0.098957
37,0.106279,1.056122,0.500000,0.811616,0.232110
38,0.074398,1.038636,0.500000,0.863580,0.157970
39,0.064641,1.033400,0.500000,0.880192,0.136116
40,0.032415,1.016474,0.500000,0.937668,0.066476
41,0.057105,1.029392,0.500000,0.893265,0.119489
42,0.122844,1.065441,0.500000,0.785909,0.272411
43,0.038967,1.019871,0.500000,0.925640,0.080333
44,0.102319,1.053918,0.500000,0.817888,0.222661
45,0.079794,1.041555,0.500000,0.854542,0.170218
46,0.075894,1.039444,0.500000,0.861063,0.161355
47,0.061996,1.031990,0.500000,0.884755,0.130257
48,0.122576,1.065289,0.500000,0.786319,0.271749
49,0.132884,1.071171,0.500000,0.770726,0.297478
50,0.046170,1.023631,0.500000,0.912624,0.095741
51,0.098631,1.051873,0.500000,0.823774,0.213925
52,0.120473,1.064097,0.500000,0.789538,0.266564
53,0.062158,1.032076,0.500000,0.884475,0.130614
54,0.050032,1.025658,0.500000,0.905732,0.104079
55,0.139614,1.075046,0.500000,0.760711,0.314560
56,0.063035,1.032543,0.500000,0.882959,0.132555
57,0.040756,1.020802,0.500000,0.922388,0.084143
58,0.100408,1.052857,0.500000,0.820933,0.218126
59,0.076400,1.039717,0.500000,0.860215,0.162500
60,0.080009,1.041672,0.500000,0.854183,0.170709
61,0.084457,1.044090,0.500000,0.846813,0.180899
62,0.108523,1.057375,0.500000,0.808085,0.237494
63,0.101556,1.053494,0.500000,0.819102,0.220849
64,0.029227,1.014830,0.500000,0.943586,0.059787
65,0.018782,1.009480,0.500000,0.963292,0.038107
66,0.037077,1.018889,0.500000,0.929091,0.076321
67,0.092370,1.048421,0.500000,0.833869,0.199229
68,0.037395,1.019054,0.500000,0.928509,0.076996
69,0.058198,1.029971,0.500000,0.891355,0.121887
70,0.021620,1.010928,0.500000,0.957890,0.043961
71,0.045934,1.023507,0.500000,0.913047,0.095234
72,0.070582,1.036582,0.500000,0.870036,0.149378
73,0.066498,1.034392,0.500000,0.877003,0.140247
74,0.111170,1.058857,0.500000,0.803938,0.243877
75,0.093129,1.048839,0.500000,0.832638,0.201003
76,0.088901,1.046518,0.500000,0.839517,0.191161
77,0.016938,1.008541,0.500000,0.966822,0.034317
