vertex,U,gamma_PPN,beta_PPN,c_eff,delta_S
78,0.133318,1.071420,0.500000,0.770077,0.298571
79,0.044969,1.023002,0.500000,0.914780,0.093159
80,0.011441,1.005754,0.500000,0.977439,0.023082
81,0.112232,1.059452,0.500000,0.802281,0.246447
82,0.061421,1.031683,0.500000,0.885751,0.128985
83,0.098818,1.051977,0.500000,0.823474,0.214367
84,0.086316,1.045105,0.500000,0.843753,0.185181
85,0.028448,1.014429,0.500000,0.945039,0.058157
86,0.115321,1.061189,0.500000,0.797480,0.253950
87,0.010427,1.005241,0.500000,0.979413,0.021020
88,0.092228,1.048343,0.500000,0.834099,0.198899
89,0.041924,1.021411,0.500000,0.920272,0.086635
90,0.083392,1.043510,0.500000,0.848572,0.178451
91,0.094306,1.049486,0.500000,0.830733,0.203756
92,0.055715,1.028656,0.500000,0.895698,0.116448
93,0.060579,1.031236,0.500000,0.887211,0.127128
94,0.132437,1.070914,0.500000,0.771396,0.296350
95,0.100113,1.052694,0.500000,0.821403,0.217429
96,0.117936,1.062663,0.500000,0.793439,0.260337
97,0.091673,1.048038,0.500000,0.835000,0.197605
98,0.113068,1.059922,0.500000,0.800979,0.248473
99,0.121637,1.064757,0.500000,0.787754,0.269432
100,0.127505,1.068094,0.500000,0.778824,0.283988
101,0.058223,1.029984,0.500000,0.891311,0.121943
102,0.063231,1.032648,0.500000,0.882621,0.132989
103,0.062339,1.032172,0.500000,0.884163,0.131014
104,0.061317,1.031628,0.500000,0.885932,0.128755
105,0.087831,1.045933,0.500000,0.841267,0.188683
106,0.089793,1.047007,0.500000,0.838060,0.193232
107,0.050750,1.026036,0.500000,0.904457,0.105635
108,0.055244,1.028407,0.500000,0.896526,0.115417
109,0.120500,1.064113,0.500000,0.789496,0.266630
110,0.050965,1.026149,0.500000,0.904077,0.106100
111,0.081731,1.042607,0.500000,0.851321,0.174645
112,0.049777,1.025524,0.500000,0.906186,0.103526
113,0.086615,1.045268,0.500000,0.843262,0.185872
114,0.045171,1.023107,0.500000,0.914417,0.093593
115,0.113442,1.060132,0.500000,0.800397,0.249381
116,0.028869,1.014646,0.500000,0.944253,0.059038
117,0.118864,1.063187,0.500000,0.792009,0.262612
118,0.024625,1.012466,0.500000,0.952209,0.050190
119,0.068707,1.035576,0.500000,0.873226,0.145179
120,0.023660,1.011972,0.500000,0.954029,0.048187
121,0.083843,1.043756,0.500000,0.847826,0.179487
122,0.118604,1.063041,0.500000,0.792409,0.261974
123,0.060426,1.031154,0.500000,0.887477,0.126789
124,0.100337,1.052818,0.500000,0.821046,0.217959
125,0.095871,1.050349,0.500000,0.828208,0.207427
126,0.027792,1.014092,0.500000,0.946264,0.056787
127,0.127580,1.068136,0.500000,0.778711,0.284174
128,0.072887,1.037822,0.500000,0.866130,0.154561
129,0.075144,1.039039,0.500000,0.862324,0.159657
130,0.059872,1.030860,0.500000,0.888439,0.125569
131,0.092984,1.048759,0.500000,0.832872,0.200664
132,0.108086,1.057131,0.500000,0.808770,0.236445
133,0.084526,1.044128,0.500000,0.846699,0.181058
134,0.075041,1.038983,0.500000,0.862498,0.159423
135,0.109170,1.057736,0.500000,0.807069,0.239051
136,0.034649,1.017630,0.500000,0.933546,0.071184
137,0.049084,1.025160,0.500000,0.907419,0.102027
138,0.071609,1.037134,0.500000,0.868294,0.151684
139,0.108033,1.057101,0.500000,0.808855,0.236316
140,0.082263,1.042896,0.500000,0.850440,0.175862
141,0.073237,1.038010,0.500000,0.865539,0.155349
142,0.041972,1.021436,0.500000,0.920185,0.086738
143,0.135009,1.072391,0.500000,0.767550,0.302846
144,0.039891,1.020351,0.500000,0.923959,0.082299
145,0.106449,1.056217,0.500000,0.811348,0.232517
146,0.041587,1.021235,0.500000,0.920881,0.085916
147,0.072453,1.037588,0.500000,0.866865,0.153582
148,0.038849,1.019809,0.500000,0.925856,0.080082
149,0.083307,1.043464,0.500000,0.848713,0.178255
150,0.094485,1.049585,0.500000,0.830444,0.204176
151,0.042728,1.021830,0.500000,0.918818,0.088355
152,0.080781,1.042090,0.500000,0.852900,0.172471
153,0.021184,1.010705,0.500000,0.958717,0.043061
154,0.064719,1.033441,0.500000,0.880058,0.136289
155,0.100520,1.052920,0.500000,0.820754,0.218392
156,0.077197,1.040148,0.500000,0.858879,0.164309
157,0.049790,1.025530,0.500000,0.906163,0.103554
158,0.124197,1.066210,0.500000,0.783846,0.275761
159,0.093155,1.048853,0.500000,0.832596,0.201063
160,0.112665,1.059695,0.500000,0.801606,0.247495
161,0.138068,1.074153,0.500000,0.763000,0.310616
162,0.071100,1.036861,0.500000,0.869156,0.150542
163,0.105998,1.055965,0.500000,0.812060,0.231436
164,0.092318,1.048393,0.500000,0.833953,0.199109
165,0.086092,1.044982,0.500000,0.844121,0.184665
166,0.072711,1.037727,0.500000,0.866429,0.154163
167,0.105689,1.055793,0.500000,0.812548,0.230697
168,0.051014,1.026175,0.500000,0.903990,0.106207
169,0.110901,1.058706,0.500000,0.804359,0.243226
170,0.007170,1.003598,0.500000,0.985787,0.014418
171,0.046583,1.023847,0.500000,0.911885,0.096629
172,0.041619,1.021252,0.500000,0.920822,0.085986
173,0.119515,1.063555,0.500000,0.791009,0.264209
174,0.114874,1.060937,0.500000,0.798174,0.252860
175,0.112214,1.059442,0.500000,0.802309,0.246403
176,0.050810,1.026067,0.500000,0.904352,0.105764
177,0.105166,1.055502,0.500000,0.813374,0.229447
178,0.095258,1.050011,0.500000,0.829195,0.205988
179,0.025038,1.012678,0.500000,0.951431,0.051048
180,0.071827,1.037251,0.500000,0.867924,0.152175
181,0.069113,1.035793,0.500000,0.872535,0.146086
182,0.037346,1.019028,0.500000,0.928599,0.076891
183,0.037730,1.019228,0.500000,0.927897,0.077706
184,0.030845,1.015664,0.500000,0.940578,0.063176
185,0.134753,1.072244,0.500000,0.767932,0.302198
186,0.117937,1.062663,0.500000,0.793438,0.260338
187,0.054663,1.028100,0.500000,0.897547,0.114148
188,0.093874,1.049249,0.500000,0.831431,0.202746
189,0.100606,1.052967,0.500000,0.820616,0.218596
190,0.055850,1.028727,0.500000,0.895463,0.116741
191,0.037163,1.018933,0.500000,0.928934,0.076503
192,0.066131,1.034196,0.500000,0.877633,0.139429
193,0.065424,1.033818,0.500000,0.878845,0.137857
194,0.083010,1.043302,0.500000,0.849203,0.177574
195,0.057541,1.029623,0.500000,0.892503,0.120445
196,0.140000,1.075269,0.500000,0.760140,0.315547
197,0.032599,1.016570,0.500000,0.937328,0.066863
198,0.128977,1.068934,0.500000,0.776600,0.287665
199,0.068440,1.035433,0.500000,0.873682,0.144582
200,0.113073,1.059925,0.500000,0.800970,0.248485
201,0.064132,1.033128,0.500000,0.881067,0.134987
202,0.027923,1.014159,0.500000,0.946020,0.057060
203,0.120632,1.064188,0.500000,0.789293,0.266957
204,0.127508,1.068096,0.500000,0.778819,0.283995
205,0.054778,1.028160,0.500000,0.897345,0.114399
206,0.121928,1.064922,0.500000,0.787308,0.270150
207,0.107915,1.057035,0.500000,0.809040,0.236033
208,0.048989,1.025110,0.500000,0.907587,0.101823
209,0.014219,1.007160,0.500000,0.972056,0.028747
210,0.029993,1.015225,0.500000,0.942160,0.061391
211,0.124282,1.066258,0.500000,0.783716,0.275972
212,0.081854,1.042673,0.500000,0.851118,0.174925
213,0.056131,1.028876,0.500000,0.894969,0.117357
214,0.059474,1.030648,0.500000,0.889132,0.124693
215,0.065978,1.034115,0.500000,0.877894,0.139090
216,0.049764,1.025517,0.500000,0.906208,0.103499
217,0.103029,1.054312,0.500000,0.816760,0.224350
218,0.071843,1.037260,0.500000,0.867897,0.152210
219,0.133468,1.071506,0.500000,0.769852,0.298950
220,0.110663,1.058573,0.500000,0.804730,0.242653
221,0.120720,1.064237,0.500000,0.789159,0.267172
222,0.103718,1.054696,0.500000,0.815666,0.225992
223,0.068414,1.035418,0.500000,0.873727,0.144522
224,0.127863,1.068298,0.500000,0.778283,0.284879
225,0.135644,1.072756,0.500000,0.766603,0.304455
226,0.049396,1.025323,0.500000,0.906863,0.102702
227,0.106313,1.056141,0.500000,0.811562,0.232192
228,0.103496,1.054572,0.500000,0.816019,0.225462
229,0.073269,1.038027,0.500000,0.865485,0.155421
230,0.074587,1.038738,0.500000,0.863262,0.158397
231,0.083484,1.043560,0.500000,0.848419,0.178662
232,0.066175,1.034220,0.500000,0.877557,0.139527
233,0.015095,1.007605,0.500000,0.970366,0.030539
234,0.127529,1.068108,0.500000,0.778787,0.284048
235,0.122102,1.065021,0.500000,0.787043,0.270579
236,0.048892,1.025059,0.500000,0.907761,0.101612
237,0.075203,1.039071,0.500000,0.862225,0.159790
238,0.093013,1.048775,0.500000,0.832826,0.200732
239,0.124050,1.066127,0.500000,0.784069,0.275397
240,0.054397,1.027959,0.500000,0.898014,0.113568
241,0.115107,1.061068,0.500000,0.797811,0.253429
242,0.083473,1.043554,0.500000,0.848437,0.178638
243,0.124705,1.066499,0.500000,0.783072,0.277022
244,0.052570,1.026995,0.500000,0.901236,0.109587
245,0.067787,1.035083,0.500000,0.874797,0.143123
246,0.047728,1.024448,0.500000,0.909836,0.099099
247,0.046882,1.024004,0.500000,0.911350,0.097273
248,0.061543,1.031748,0.500000,0.885539,0.129255
249,0.072383,1.037551,0.500000,0.866982,0.153426
250,0.015387,1.007753,0.500000,0.969804,0.031137
251,0.054693,1.028115,0.500000,0.897494,0.114213
252,0.116634,1.061928,0.500000,0.795448,0.257152
253,0.136025,1.072976,0.500000,0.766036,0.305422
254,0.081742,1.042613,0.500000,0.851303,0.174670
255,0.079441,1.041363,0.500000,0.855130,0.169413
256,0.063395,1.032735,0.500000,0.882338,0.133352
257,0.071264,1.036949,0.500000,0.868878,0.150910
258,0.071459,1.037053,0.500000,0.868548,0.151347
259,0.082827,1.043202,0.500000,0.849507,0.177154
260,0.137016,1.073547,0.500000,0.764562,0.307939
261,0.082299,1.042915,0.500000,0.850380,0.175944
262,0.112166,1.059415,0.500000,0.802384,0.246286
263,0.115556,1.061321,0.500000,0.797116,0.254523
264,0.039414,1.020103,0.500000,0.924826,0.081284
265,0.130509,1.069810,0.500000,0.774291,0.291505
266,0.068676,1.035559,0.500000,0.873280,0.145108
267,0.102123,1.053809,0.500000,0.818200,0.222195
268,0.059033,1.030414,0.500000,0.889899,0.123724
269,0.075742,1.039361,0.500000,0.861320,0.161009
270,0.075916,1.039456,0.500000,0.861028,0.161403
271,0.086373,1.045136,0.500000,0.843659,0.185312
272,0.011476,1.005771,0.500000,0.977371,0.023153
273,0.052983,1.027212,0.500000,0.900507,0.110486
274,0.018257,1.009213,0.500000,0.964296,0.037026
275,0.032647,1.016594,0.500000,0.937239,0.066963
276,0.104353,1.055049,0.500000,0.814660,0.227507
277,0.086679,1.045303,0.500000,0.843157,0.186018
278,0.046745,1.023932,0.500000,0.911595,0.096978
279,0.046890,1.024008,0.500000,0.911334,0.097292
