vertex,U,gamma_PPN,beta_PPN,c_eff,delta_S
0,0.103096,1.054350,0.500000,0.816654,0.224509
1,0.133412,1.071474,0.500000,0.769936,0.298809
2,0.039760,1.020283,0.500000,0.924196,0.082021
3,0.017623,1.008890,0.500000,0.965509,0.035723
4,0.047632,1.024397,0.500000,0.910008,0.098892
5,0.019844,1.010022,0.500000,0.961265,0.040296
6,0.038668,1.019715,0.500000,0.926186,0.079697
7,0.056961,1.029316,0.500000,0.893515,0.119175
8,0.123238,1.065665,0.500000,0.785307,0.273387
9,0.125674,1.067050,0.500000,0.781600,0.279427
10,0.111164,1.058853,0.500000,0.803948,0.243861
11,0.028322,1.014365,0.500000,0.945274,0.057894
12,0.111703,1.059156,0.500000,0.803106,0.245166
13,0.094830,1.049775,0.500000,0.829887,0.204983
14,0.122865,1.065454,0.500000,0.785877,0.272464
15,0.088717,1.046418,0.500000,0.839817,0.190736
16,0.099219,1.052199,0.500000,0.822832,0.215314
17,0.137189,1.073647,0.500000,0.764304,0.308380
18,0.039964,1.020390,0.500000,0.923825,0.082456
19,0.088028,1.046040,0.500000,0.840945,0.189138
20,0.064600,1.033378,0.500000,0.880262,0.136025
21,0.068323,1.035370,0.500000,0.873883,0.144319
22,0.100065,1.052668,0.500000,0.821480,0.217315
23,0.049577,1.025419,0.500000,0.906541,0.103094
24,0.013455,1.006773,0.500000,0.973534,0.027185
25,0.110589,1.058531,0.500000,0.804847,0.242472
26,0.091430,1.047905,0.500000,0.835394,0.197040
27,0.059826,1.030835,0.500000,0.888519,0.125468
28,0.096021,1.050432,0.500000,0.827966,0.207779
29,0.103583,1.054621,0.500000,0.815880,0.225671
30,0.088956,1.046549,0.500000,0.839426,0.191290
31,0.050596,1.025955,0.500000,0.904731,0.105301
32,0.151067,1.081705,0.500000,0.743953,0.344170
33,0.122177,1.065063,0.500000,0.786927,0.270765
34,0.068828,1.035640,0.500000,0.873021,0.145448
35,0.151507,1.081963,0.500000,0.743316,0.345323
36,0.054471,1.027998,0.500000,0.897884,0.113730
37,0.121462,1.064658,0.500000,0.788022,0.269001
38,0.085026,1.044401,0.500000,0.845874,0.182209
39,0.073875,1.038354,0.500000,0.864462,0.156789
40,0.037046,1.018872,0.500000,0.929148,0.076254
41,0.065262,1.033732,0.500000,0.879123,0.137497
42,0.140393,1.075496,0.500000,0.759560,0.316552
43,0.044534,1.022774,0.500000,0.915562,0.092225
44,0.116936,1.062099,0.500000,0.794982,0.257890
45,0.091193,1.047775,0.500000,0.835780,0.196487
46,0.086737,1.045334,0.500000,0.843062,0.186152
47,0.070853,1.036728,0.500000,0.869576,0.149986
48,0.140086,1.075319,0.500000,0.760012,0.315769
49,0.151867,1.082173,0.500000,0.742795,0.346266
50,0.052766,1.027098,0.500000,0.900890,0.110014
51,0.112721,1.059727,0.500000,0.801519,0.247631
52,0.137683,1.073931,0.500000,0.763571,0.309636
53,0.071038,1.036827,0.500000,0.869262,0.150401
54,0.057180,1.029431,0.500000,0.893133,0.119654
55,0.159559,1.086696,0.500000,0.731755,0.366577
56,0.072040,1.037366,0.500000,0.867563,0.152654
57,0.046578,1.023844,0.500000,0.911893,0.096619
