side,raw_id,norm_id,ra_deg,dec_deg,source_tag,row_idx
lensing,SPT-CL J2258-4044,SPTCLJ22584044,344.7051000000,-40.7386000000,spt_sz_table4_catalog.csv,85
lensing,SPT-CL J2259-6057,SPTCLJ22596057,344.7528000000,-60.9546000000,spt_sz_table4_catalog.csv,86
lensing,SPT-CL J2300-5100,SPTCLJ23005100,345.1034000000,-51.0126000000,spt_sz_table4_catalog.csv,87
lensing,SPT-CL J2301-4023,SPTCLJ23014023,345.4687000000,-40.3912000000,spt_sz_table4_catalog.csv,88
lensing,SPT-CL J2306-6505,SPTCLJ23066505,346.7298000000,-65.0910000000,spt_sz_table4_catalog.csv,89
lensing,SPT-CL J2325-4111,SPTCLJ23254111,351.3043000000,-41.1959000000,spt_sz_table4_catalog.csv,90
lensing,SPT-CL J2331-5051,SPTCLJ23315051,352.9608000000,-50.8639000000,spt_sz_table4_catalog.csv,91
lensing,SPT-CL J2335-4544,SPTCLJ23354544,353.7861000000,-45.7389000000,spt_sz_table4_catalog.csv,92
lensing,SPT-CL J2337-5942,SPTCLJ23375942,354.3523000000,-59.7049000000,spt_sz_table4_catalog.csv,93
lensing,SPT-CL J2341-5119,SPTCLJ23415119,355.2991000000,-51.3281000000,spt_sz_table4_catalog.csv,94
lensing,SPT-CL J2342-5411,SPTCLJ23425411,355.6892000000,-54.1856000000,spt_sz_table4_catalog.csv,95
lensing,SPT-CL J2344-4243,SPTCLJ23444243,356.1847000000,-42.7209000000,spt_sz_table4_catalog.csv,96
lensing,SPT-CL J2345-6405,SPTCLJ23456405,356.2555000000,-64.0959000000,spt_sz_table4_catalog.csv,97
lensing,SPT-CL J2347-6246,SPTCLJ23476246,356.8065000000,-62.7693000000,spt_sz_table4_catalog.csv,98
lensing,SPT-CL J2352-4657,SPTCLJ23524657,358.0631000000,-46.9569000000,spt_sz_table4_catalog.csv,99
lensing,SPT-CL J2355-5055,SPTCLJ23555055,358.9498000000,-50.9320000000,spt_sz_table4_catalog.csv,100
lensing,SPT-CL J2359-5009,SPTCLJ23595009,359.9230000000,-50.1649000000,spt_sz_table4_catalog.csv,101
