system_id,ell,obs_dx,obs_dy,sigma_grad_x,sigma_grad_y,sigma,mv_nlkk,pp_nlkk
L00101,802,-0.414012975,-0.227453841,-0.414012975,-0.227453841,0.205596774,1.050523666605e-06,2.633899888458e-05
L00102,810,-0.404845657,-0.217740030,-0.404845657,-0.217740030,0.205613169,1.057370074718e-06,2.671015794015e-05
L00103,818,-0.390576209,-0.206899240,-0.390576209,-0.206899240,0.205510309,1.068115783124e-06,2.713055716704e-05
L00104,826,-0.375486862,-0.195296279,-0.375486862,-0.195296279,0.205405717,1.079597742355e-06,2.758784660361e-05
L00105,834,-0.363126686,-0.182346059,-0.363126686,-0.182346059,0.205423419,1.089094889919e-06,2.810734139560e-05
L00106,842,-0.352580773,-0.168726510,-0.352580773,-0.168726510,0.205515628,1.097264042095e-06,2.866424347443e-05
L00107,850,-0.339705123,-0.156822702,-0.339705123,-0.156822702,0.205486473,1.107320993351e-06,2.916001816357e-05
L00108,858,-0.325982398,-0.144467575,-0.325982398,-0.144467575,0.205445445,1.118141072806e-06,2.968366028979e-05
L00109,866,-0.312415173,-0.130188890,-0.312415173,-0.130188890,0.205466788,1.128942477714e-06,3.030055190121e-05
L00110,874,-0.298263239,-0.116336904,-0.298263239,-0.116336904,0.205457790,1.140320593017e-06,3.091125743567e-05
L00111,882,-0.280766811,-0.101031233,-0.280766811,-0.101031233,0.205392067,1.154546327032e-06,3.160037712360e-05
L00112,890,-0.263663077,-0.085463780,-0.263663077,-0.085463780,0.205345979,1.168624297444e-06,3.231704443143e-05
L00113,898,-0.251241220,-0.070867290,-0.251241220,-0.070867290,0.205411218,1.178956134714e-06,3.300376970622e-05
L00114,906,-0.231065427,-0.056938913,-0.231065427,-0.056938913,0.205223795,1.195932306595e-06,3.367266372817e-05
L00115,914,-0.215209380,-0.043366402,-0.215209380,-0.043366402,0.205155289,1.209445155347e-06,3.433750693057e-05
L00116,922,-0.200078477,-0.027454813,-0.200078477,-0.027454813,0.205178710,1.222482365164e-06,3.513366289380e-05
L00117,930,-0.187960151,-0.011250445,-0.187960151,-0.011250445,0.205301291,1.233025131094e-06,3.596344358309e-05
L00118,938,-0.175472631,0.003491510,-0.175472631,0.003491510,0.205368924,1.243984217247e-06,3.673535055920e-05
L00119,946,-0.163218254,0.017595992,-0.163218254,0.017595992,0.205424427,1.254833384745e-06,3.748938268821e-05
L00120,954,-0.148226305,0.031613253,-0.148226305,0.031613253,0.205395187,1.268234975726e-06,3.825408534451e-05
L00121,962,-0.136207964,0.045758921,-0.136207964,0.045758921,0.205459007,1.279081689056e-06,3.904160743194e-05
L00122,970,-0.121484816,0.059401053,-0.121484816,0.059401053,0.205426576,1.292496042383e-06,3.981644978108e-05
L00123,978,-0.108000839,0.071376783,-0.108000839,0.071376783,0.205381329,1.304904763048e-06,4.050930909976e-05
L00124,986,-0.095777461,0.083723884,-0.095777461,0.083723884,0.205385040,1.316256322956e-06,4.123627974192e-05
L00125,994,-0.086615417,0.097015039,-0.086615417,0.097015039,0.205508914,1.324829597851e-06,4.203342133661e-05
