system,reference_pair,angular_separation_arcsec,notes,source
1E0657-558,main_cluster_bcg_to_plasma,47.4473,"Computed from Table 2 coordinates (BCG vs plasma position).",Clowe_2006_ApJ_648_L109
1E0657-558,subcluster_bcg_to_plasma,43.9788,"Computed from Table 2 coordinates (BCG vs plasma position).",Clowe_2006_ApJ_648_L109
