file,naxis1,naxis2,bitpix,ctype1,ctype2,crpix1,crpix2,cdelt1,cdelt2,finite_count,nan_count,inf_count,min,max,mean,stddev,p99,p999,telescope
e01_TM8_0.200_0.400keV_3arcm_c947_AIT_sum_Ratesmap.fits,7200,3600,-32,GLON-AIT,GLAT-AIT,3600.0,1800.0,-0.05,0.05,8268720,17651280,0,8.01341229817e-06,17.8314113617,0.00646505158899,0.0128960163714,0.0187231767923,0.120778903365,eROSITA 
e01_TM8_0.400_0.600keV_3arcm_c947_AIT_sum_Ratesmap.fits,7200,3600,-32,GLON-AIT,GLAT-AIT,3600.0,1800.0,-0.05,0.05,8268720,17651280,0,9.19092999538e-05,65.269821167,0.0100426465462,0.0429402249419,0.0368240736425,0.24257902801,eROSITA 

cross_band_metric,value
pearson_corr_finite_pixels,0.710016429838
